VBA Project,GUID,Friendly name
TOC,f227996b-a666-5015-03f5-03936dc42ca1,updateidentity-microsoft-access-sql-reserved-word
TOC,09d23b9f-214b-e45b-f8c2-08af26bec247,use-default-paper-size-property
TOC,3d5d4d78-d569-28ce-6e6d-1c8dcdc8fbda,using-source-code-control-in-your-development-environment
TOC,e9586993-79a6-b807-ae74-2b15188f4486,view-microsoft-access-sql-reserved-word
TOC,b747ff33-3e84-480c-bcd8-3b5e7d0e063d,wait-for-post-processing
TOC,41e403b9-a94a-252c-7561-51ac2df4cf0c,uniquevalues-property
TOC,86198e46-2061-f39f-b6cf-58b90ef063b7,topvalues-property
TOC,67e4caed-6512-e8bd-39d0-6dca18114b18,where-clause-microsoft-access-sql
TOC,7bf8c7d0-9185-d7b2-505a-6ddc449089b9,using-the-connection-properties-in-the-microsoft-ole-db-provider-for-access
TOC,283e5d33-b281-150f-9766-6ecc0da6a09a,unique-property
TOC,3defe4ed-e0ad-8821-3a6e-7b0fcf837a2c,with-microsoft-access-sql-reserved-word
TOC,5a722d52-f41f-07a6-8197-7b73841a2fad,using-the-setoption-method-from-dao
TOC,9d2c4397-2d80-e974-fbe4-a5c17d91b3da,updatesecurity-microsoft-access-sql-reserved-word
TOC,c4f6e88c-e1b6-3350-85fd-b1be9ecc2189,values-for-the-ttoption-member
TOC,f1e9358a-4e46-bef7-4126-bee21e0ed299,update-microsoft-access-sql-reserved-word
TOC,921b10b0-fd9a-c207-67bf-c3dc7ebfd4fb,user-microsoft-access-sql-reserved-word
TOC,3c3c1c0d-5a96-4d59-d607-c8f0751725ae,values-for-the-defaultsource-member
TOC,24702b66-ec52-54d1-834d-cbbe45a52f2a,to-microsoft-access-sql-reserved-word
TOC,4737dcbe-d4c2-9cbe-4703-e4a9874d50a9,using-regedit-exe-to-overwrite-the-default-settings
TOC,51b7fab4-d8dc-69cd-7f0c-e548407619a8,updateowner-microsoft-access-sql-reserved-word
TOC,99afe507-9c34-7ec6-fa53-e6f7e9f6128b,values-for-the-papersize-member
TOC,4a0874dc-ecac-be7c-25e2-ecc79696e2eb,unbound-object-frame-control
TOC,4dcce1e4-3923-2c97-97a2-f4831d9c5489,toggle-button-control
TOC,2cac402d-8384-0b33-c203-f493281a95f1,var-varp-functions-microsoft-access-sql
TOC,05ab9d9b-d23f-2da3-9ba4-fa917e013dec,uniquerecords-property
TOC,a9385b34-7685-3cc9-e444-0414adbd3d54,the-synchronizer-is-already-serving-a-clienterror-3530
TOC,dba49da9-84d0-3456-e9fe-06379d15e5c1,you-cannot-change-the-data-master-attribute-for-the-replica-set-it-allows-data-c
TOC,5457a862-fee7-14d1-b9a9-0967cdabec28,this-member-of-the-replica-set-has-been-logically-removed-from-the-set-and-is-no
TOC,57fcc7c8-66d2-12fd-e7f7-0be8213be55d,there-is-no-index-on-the-guid-columnerror-3550
TOC,56b9d9fd-a1bc-61d0-1ca1-0dcb7a288206,the-microsoft-access-database-engine-could-not-find-the-object-namemake-sure-the
TOC,f89d5675-0bb4-c8e4-31f8-0dfb8b78862e,you-tried-to-assign-the-null-value-to-a-variable-that-is-not-a-variant-data-type
TOC,e4c565f0-3bf8-21ce-5b43-0e7d428cff5a,without-administrator-permission-replica-priority-must-be-in-the-range-0numberer
TOC,eeadab07-e4f6-2714-a0ac-0f1e0c5138d3,the-system-object-used-by-a-process-still-exists-after-the-process-has-stoppeder
TOC,678214e8-0c0f-7d1c-6777-11a476e0a01d,there-is-no-active-transport-for-the-synchronizererror-3508
TOC,80e9f4c8-2ab0-3588-abb8-121958bb17f4,the-synchronizer-or-replication-manager-could-not-find-the-system-objecterror-35
TOC,c64c0ea0-408b-9bc2-2e1e-13abc3d644eb,this-property-is-not-supported-for-external-data-sources-or-for-databases-create
TOC,5d8ece7f-ec93-609a-fb48-171ce61d90a3,this-operation-is-not-allowed-in-subquerieserror-3787
TOC,128e9e52-c4fb-45b9-66ef-17584d5540b2,the-synchronizer-id-does-not-match-an-existing-id-in-the-msystranspaddress-table
TOC,b1f0c6c1-a264-638e-2755-1ac84fea10bb,the-replicaid-for-this-member-of-the-replica-set-was-reassigned-during-a-move-or
TOC,beacc40a-10b6-6920-b1c4-1cff337cd0b9,the-password-used-by-the-synchronizer-to-write-to-a-destination-dropbox-folder-i
TOC,5dcb65e3-3f8c-f16c-5380-1d665283aa7a,the-specified-field-field-could-refer-to-more-than-one-table-listed-in-the-from-
TOC,c1b73fc2-801f-c446-d08f-1d98dbe9d36d,too-many-expressions-in-group-by-clauseerror-3087
TOC,3a675d3d-c48c-c8c9-5040-1feb38b625eb,the-microsoft-access-database-engine-cannot-find-the-input-table-or-query-namema
TOC,05fbb6e2-6055-2114-4729-20722c0c94bf,type-mismatch-in-join-expressionerror-3615
TOC,c38df21d-4993-9450-d55c-2108c6851b01,there-is-no-suitable-replica-to-exchange-witherror-3684
TOC,8b69b761-9234-730a-a573-213ed013e579,too-many-fields-definederror-3190
TOC,1814658c-ba70-0ff9-f6e4-21eabc4a3b88,view-can-not-contain-a-parameter-error-3730
TOC,39a05773-3bb8-06da-407e-221114a847c9,the-table-name-is-already-opened-exclusively-by-another-user-or-it-is-already-op
TOC,96194a6b-3609-636a-db82-2250d19072dc,the-synchronizer-s-registry-has-no-value-set-for-the-key-you-queriederror-3503
TOC,c793a9d4-755e-6a0c-0f41-24851a23cb0f,the-size-of-a-field-is-too-longerror-3017
TOC,36e52d2a-bdd9-f1f5-0a72-2b4f9412774f,undefined-function-name-in-expressionerror-3085
TOC,f10f2006-d9dd-4b4a-dd55-2cfc629037ee,unknown-function-nameerror-2425
TOC,81d3ba1d-fc84-0434-4433-361d94c44229,there-is-no-new-data-in-shared-memory-for-the-synchronizer-or-replication-manage
TOC,6fe95b32-00bc-7403-e95c-388d51c62104,the-microsoft-access-database-engine-sorting-dlls-could-not-be-loaded-properlyer
TOC,edf801df-10f8-35b7-2edc-38af3be49c05,there-is-no-field-named-name-in-table-nameerror-3381
TOC,c8684bee-ac2e-2fb1-6a40-396173048441,you-tried-to-commit-or-roll-back-a-transaction-without-first-using-begintranserr
TOC,a18f6077-b668-9d01-2283-3bf3835ee92b,there-is-already-a-relationship-named-name-in-the-current-databaseerror-3378
