VBA Project,GUID,Friendly name
TOC,9c1e8386-0309-c52c-856b-963220382eb8,office-vba-language-reference
TOC,bef2a557-a2da-4981-9ca2-76dc397d0602,$$offvbalangrefcon
TOC,516bd833-8a6a-46eb-ba2a-17aeeb32e9a8,dialog-boxes-microsoft-forms
TOC,808a998e-ef9f-4848-b03c-1d48cb355b5e,methods-microsoft-forms
TOC,17d0ac0c-2fec-49cf-9508-52658cbef1d4,properties-microsoft-forms
TOC,248411ff-6063-41d6-bac9-656afad0b63d,events-microsoft-forms
TOC,59020e7d-02e7-4dfe-b8a1-90a566012d4c,collections-microsoft-forms
TOC,bef53a48-4af9-4633-8009-b2dcd38fef3e,examples-microsoft-forms
TOC,dafc5e84-6a80-4822-86f5-f502b402b3c2,objects-microsoft-forms
TOC,e2e0df8d-7f11-ff9f-b781-06ccf70be3e5,string-keyword
TOC,83364e89-d46b-6308-af1b-096bd3e4acb5,error-keyword
TOC,26ab7313-9e9b-a0fb-86c5-098ef7a5a242,step-keyword
TOC,488cb198-1d0b-495e-4d0e-0a22304ba06c,get-keyword
TOC,558f4073-a5ae-7f40-f265-1a5bd6136dd5,date-keyword
TOC,2fe1dd9a-09bc-9c93-bd42-1f92e1063b72,print-keyword
TOC,cfc168a0-1be3-b5f7-9ef0-20ad17e04727,byval-keyword
TOC,f39d96b5-b462-8a8c-9b43-23f353289333,let-keyword
TOC,a6e58c04-e373-3720-8a90-270b431138a9,then-keyword
TOC,5b050a6c-a9c2-b651-e208-306d8f42163f,withevents-keyword
TOC,bae593b3-84ea-d6ef-5d4b-34f74fad8df3,public-keyword
TOC,800bca44-cde8-6efa-8695-3a86e30a8e79,as-keyword
TOC,f90702ed-0aeb-1172-8a98-41f2bf27bbc6,len-keyword
TOC,2136bce4-57d3-de8e-5bd9-48504ac17964,keywords-by-task
TOC,57f34d2c-4175-fae8-2b33-4ba334acc20f,to-keyword
TOC,ce7391fe-06ff-8e91-76c4-53320997fbb6,input-keyword
TOC,64745732-35c9-cce0-55bb-57133d322ef0,friend-keyword
TOC,24d4dc07-c144-1feb-7443-58d6543bce04,resume-keyword
TOC,ab989522-7be0-b524-1c8b-5fba0b4eed84,set-keyword
TOC,6bc203e1-c0f3-b580-a004-6ade83bd4513,seek-keyword
TOC,d5e2509e-0229-4aa8-c3eb-6d01bcd4b3cf,time-keyword
TOC,5213411e-aacb-71a1-b0a2-6faf020b9615,is-keyword
TOC,af9f9352-c18c-af8f-8741-74a8686ff609,next-keyword
TOC,6d062019-bb49-7acb-5f03-7bb5a2a09681,me-keyword
TOC,936fd3ef-62bb-d63f-7707-838d43110948,paramarray-keyword
TOC,406a18aa-53da-cacf-1721-922923143091,empty-keyword
TOC,a5217d19-6401-a213-052a-925cc57d59c0,true-keyword
TOC,7adaf0de-c062-bb9f-95c0-958de4a47dd3,option-keyword
TOC,821985f6-2730-0113-25db-9b464e069046,property-keyword
TOC,6f9aec13-97d1-04c9-ccca-a48420f27163,null-keyword
TOC,1c7e3154-9d15-14e2-ebdb-aa8b1cb74a24,lock-keyword
TOC,b8150ace-2d89-fabf-81a1-b65995abcd01,binary-keyword
TOC,0362ebbb-b22f-2e09-0969-b714b1fc7b61,byref-keyword
